,Unnamed: 0,Concept,Description
106,118,Confusion Matrix,A table showing the performance of a classification model.
107,119,Random Search,A randomized approach to find optimal parameters.
108,120,Data Privacy,Protecting personal information in data analysis.
109,121,TensorFlow,A library for deep learning.
110,122,Grid Search,A method for hyperparameter optimization.
111,123,Data Governance,"Ensuring data quality, security, and compliance."
112,124,Grid Search,A method for hyperparameter optimization.
113,125,F1 Score,The harmonic mean of precision and recall.
114,126,Hyperparameter Tuning,Optimizing model parameters to improve performance.
115,127,Bagging,An ensemble technique combining multiple models.
116,128,Boosting,An iterative boosting algorithm improving weak models.
117,130,Data Wrangling,Transforming raw data into usable formats.
118,131,Data Cleaning,"Fixing or removing incorrect, incomplete, or irrelevant data."
119,132,RNN (Recurrent Neural Networks),A type of neural network for sequential data.
120,133,Bias-Variance Tradeoff,The tradeoff between a model's bias and variance.
121,134,RNN (Recurrent Neural Networks),A type of neural network for sequential data.
122,135,Supervised Learning,A type of machine learning where the model learns from labeled data.
123,136,Overfitting,"A model fits the training data too well, reducing generalization."
124,137,Recall,The ratio of true positives to actual positives.
125,138,PCA (Principal Component Analysis),A technique to reduce data dimensions while preserving variance.
126,139,Clustering,Grouping similar data points into clusters.
127,140,Clustering,Grouping similar data points into clusters.
128,141,Time Series Analysis,Analyzing data collected over time.
129,142,Data Visualization,Creating graphical representations of data.
130,143,Cross-Validation,A technique to evaluate models using different subsets of data.
131,144,LIME,A technique for interpreting machine learning models.
132,145,Fairness in AI,Ensuring AI systems treat all groups fairly.
133,146,Underfitting,A model is too simple and fails to capture the data's complexity.
134,147,Random Forests,An ensemble method using multiple decision trees.
135,148,Recall,The ratio of true positives to actual positives.
136,149,Boosting,An iterative boosting algorithm improving weak models.
137,150,Decision Trees,A tree-based algorithm for decision-making tasks.
138,151,Data Cleaning,"Fixing or removing incorrect, incomplete, or irrelevant data."
139,152,Reinforcement Learning,Learning through rewards and penalties.
140,153,PCA (Principal Component Analysis),A technique to reduce data dimensions while preserving variance.
141,154,Bias in AI,Unintended biases in machine learning models.
142,155,Classification,Predicting a category or class label.
143,156,Deep Learning,A subset of machine learning focusing on neural networks with many layers.
144,157,Recall,The ratio of true positives to actual positives.
145,158,Clustering,Grouping similar data points into clusters.
146,159,Bias in AI,Unintended biases in machine learning models.
147,160,Scikit-learn,A library for machine learning in Python.
148,161,Reinforcement Learning,Learning through rewards and penalties.
149,162,PCA (Principal Component Analysis),A technique to reduce data dimensions while preserving variance.
150,163,Bagging,An ensemble technique combining multiple models.
151,164,LSTM,A type of neural network for sequence data.
152,165,PyTorch,A deep learning framework.
153,166,Data Ethics,Ethical considerations in data collection and usage.
154,167,CNN (Convolutional Neural Networks),A type of neural network for image data.
155,168,Cross-Validation,A technique to evaluate models using different subsets of data.
156,169,Confusion Matrix,A table showing the performance of a classification model.
157,170,Data Governance,"Ensuring data quality, security, and compliance."
158,171,Underfitting,A model is too simple and fails to capture the data's complexity.
159,173,Deep Learning,A subset of machine learning focusing on neural networks with many layers.
160,174,Cross-Validation,A technique to evaluate models using different subsets of data.
161,175,PyTorch,A deep learning framework.
162,176,Seaborn,A Python library for statistical data visualization.
163,177,Neural Networks,A computational model inspired by the human brain.
164,178,Supervised Learning,A type of machine learning where the model learns from labeled data.
165,179,Time Series Analysis,Analyzing data collected over time.
166,180,Bagging,An ensemble technique combining multiple models.
167,181,Model Evaluation,Assessing the performance of machine learning models.
168,182,Bias-Variance Tradeoff,The tradeoff between a model's bias and variance.
169,183,Classification,Predicting a category or class label.
